U850,V850,U200,V200
4.7500114,3.600006,22.625008,20.67501
0.12501144,4.0000076,26.025002,24.750008
2.0750084,7.0750084,35.950005,28.775005
3.85001,6.7250137,37.075005,8.425011
6.47501,0.37501144,30.325005,11.125008
3.7500076,0.12501144,34.900005,7.0000114
3.5000114,2.350006,30.675007,18.02501
4.300007,4.5000114,36.45001,27.750004
5.1250114,0.02501297,40.250008,21.65001
0.7000122,3.0250053,36.07501,16.600006
1.7250099,4.400009,37.175007,20.575005
1.3500099,5.9250107,33.875008,13.72501
3.8750076,4.9250145,31.925003,10.850006
0.9750061,4.5000076,29.200005,1.3000069
4.050007,5.4250107,29.550007,-0.14999008
5.5750084,2.225006,37.025005,-4.849991
6.325012,1.7000122,29.350006,-2.7499924
6.9500084,2.72501,34.125008,1.5750122
1.2750092,1.8000107,38.850006,8.97501
-4.324993,3.400013,36.025005,8.875011
4.0000076,6.7500114,34.450005,4.525013
7.5250053,4.500004,31.175007,6.900009
5.7500114,2.8750076,37.250008,11.800011
5.8750114,2.0750084,35.450005,13.500011
0.9750099,2.5750084,34.800007,9.900013
5.3750076,4.9000053,36.07501,2.6250076
5.72501,1.7250099,36.475006,-1.2249947
4.1250076,1.3750114,41.350006,-10.224991
3.47501,4.0500107,47.425007,-3.27499
6.425007,1.3500099,42.77501,-0.49999237
8.800007,0.52501297,35.375008,2.8750076
-0.34999084,-3.9999886,32.47501,2.0250092
-2.4499931,1.4500084,34.200005,1.6500053
-0.99998474,3.2000084,36.250004,1.8750076
-4.5499916,0.8000107,34.300003,2.8750076
1.6500092,2.4250107,32.825005,4.6750107
6.5500107,1.3250084,35.525005,9.275009
6.8500137,0.92500687,34.075005,6.100006
5.60001,0.3250122,31.42501,6.775009
7.8000107,0.3250084,17.500008,-2.9999924
7.4500084,0.5000076,10.675011,-0.44999313
6.0000114,1.0000114,9.775009,1.2000084
5.7500076,1.2000084,15.10001,0.50001144
2.9500084,2.7000084,17.425007,2.0500107
4.8500137,4.450012,23.325008,2.9500122
5.0750084,4.8000107,21.325005,1.6500092
6.7750053,2.5500069,17.350006,2.3750114
6.025009,0.42501068,16.10001,5.275009
4.025009,-0.5249901,17.075008,3.2500114
6.300007,1.2750092,21.200012,3.4500122
6.150009,0.7500076,25.900005,2.6250076
4.5000114,0.6750107,24.575008,8.250011
2.475006,2.1750069,20.27501,16.950012
0.65000916,2.2500076,13.900009,13.325008
4.0000076,3.6250114,17.675007,-2.77499
4.85001,0.35000992,26.125008,-4.074993
-1.8499947,-1.4499931,25.225006,2.4250069
0.5750084,3.7500076,26.85001,8.675011
5.275009,3.35001,27.700008,4.700012
3.9250107,1.7500114,20.950012,-1.2499886
6.4500084,1.8250084,11.075012,2.4250069
7.500004,1.8000107,11.675007,0.37500763
5.025009,-0.049991608,11.050011,-2.1749916
2.5750046,1.0250053,9.800011,-4.4999886
3.6750107,2.0750084,13.425007,-0.47499466
2.1250076,2.425003,14.050011,-3.0499916
0.8500099,3.0500107,11.900013,-1.849987
-1.4749908,2.0000114,11.150005,-1.7749901
-2.14999,0.47501373,11.600006,-1.6749916
-2.599987,5.3000107,9.400009,-4.599991
-2.3749886,5.725006,6.7500114,-2.6249924
-1.1999855,7.5750084,4.275009,0.02501297
1.6750107,4.975006,0.37501144,2.5750084
2.1750107,-1.4999886,-0.97499084,4.7000046
-6.7999916,-5.2499886,4.775009,6.9500084
-0.6499901,1.3250084,11.650009,-2.3499908
6.6250076,2.97501,12.075008,-2.774994
7.1250114,1.4250069,12.650013,-3.9499893
8.97501,0.77500916,5.550007,-2.39999
7.025009,-0.2999878,9.050011,-1.5249901
-2.849987,-0.9249916,10.400009,2.6750107
-5.7249947,-0.19998932,18.800007,-6.924988
0.8250122,3.525013,14.325005,-13.499992
2.1250114,4.1250076,7.7500076,-11.749992
3.9250107,5.925007,3.1250076,-9.424988
4.6250076,3.6750107,-0.34999084,-7.9249916
2.6750069,1.5000076,-5.02499,-3.3749924
1.4500084,2.5000114,-8.099991,-3.3499908
1.7500038,3.9250069,-9.574989,-2.7499924
1.6000061,2.6500092,-12.224991,0.07500839
0.6250076,2.5750122,-8.324993,0.5750084
1.0750084,2.9000092,-4.8999863,-2.89999
2.7750092,3.9250107,-2.5749931,-6.0499916
3.2000084,4.700012,-3.0499916,-7.799988
5.5250053,5.47501,-4.1249886,-9.77499
4.6750107,3.85001,-10.824989,-5.8749886
2.3250084,2.1750069,-13.674995,-3.0999947
0.2500038,0.8500099,-12.39999,-2.774994
-2.1749878,2.7500076,-13.224995,-12.874989
-4.8749886,4.2500076,-12.149994,-9.27499
-2.099987,4.5000114,-5.1999893,-4.8249893
-1.2999878,3.5000114,-6.449997,-4.824993
-1.4999924,3.6250114,-8.624989,-4.5749893
-1.2749863,2.9250069,-0.6499901,-5.074993
1.2000122,2.8750076,1.5000076,-5.7999916
-0.22499084,1.6750107,-2.9749908,-6.9999886
0.42501068,-0.19999313,-15.599991,-9.724991
3.8000069,-2.4499893,-21.97499,-8.77499
1.4500046,2.275013,-20.274994,-6.9999924
-0.59999084,4.3750076,-21.57499,-2.1749916
3.2750092,1.775013,-28.09999,-1.0999947
6.4250107,-0.32499313,-21.14999,0.37500763
6.0500107,0.4500084,-21.14999,2.8750076
3.9000053,0.3250084,-16.77499,0.47500992
3.0000076,2.0000114,-12.524994,-1.2749901
3.5250053,1.4000092,-13.424992,-3.7999878
5.900009,2.5750084,-15.89999,-1.3999901
5.3000107,2.35001,-18.22499,-1.6999893
3.47501,1.2000084,-19.77499,2.35001
5.2750053,-1.349987,-20.57499,1.4000092
5.850006,-0.49998856,-13.799995,-1.8749886
4.8000107,-0.7999916,-7.6249886,-2.1999893
5.175007,-0.5749893,-0.24999237,-2.9749908
4.7250137,0.25000763,1.1250076,-0.6499939
5.425007,3.2000122,-9.074989,-7.1749916
5.8000145,2.7000046,-15.524994,-5.6749916
5.5250053,1.1250076,-17.19999,-8.699989
2.650013,-2.1749916,-11.199989,-5.1999893
0.5500107,-3.9749908,-6.1499863,-7.64999
-0.5249901,-1.0749893,-1.7499924,-1.0249939
-1.9999924,2.85001,1.2500114,-0.099990845
-2.1749916,-1.2999916,-4.5499954,-1.5499916
-4.89999,-3.52499,-7.6249886,0.67500687
-3.5999908,4.4250107,-3.0999908,-1.9749908
1.9500084,4.1250076,-6.4249916,-7.64999
1.3250084,2.5250092,-12.699989,-5.2999916
4.2250137,2.2000084,-13.574989,1.3750076
5.8750114,2.7500076,-12.599987,-2.2999878
8.425011,2.8000107,-19.549992,-2.2999878
7.7500114,0.90000534,-14.824989,-5.64999
6.47501,1.0000076,-11.624992,-4.89999
2.5750084,3.2750092,-17.949993,-2.5499916
2.0750084,4.550007,-18.549995,-0.37499237
5.525009,2.7750092,-15.274994,-2.6999893
6.4000053,-1.1999893,-10.374989,-3.1249886
4.7000084,-0.5499916,-7.099991,-1.6499901
3.475006,0.37501144,-12.399994,-1.7999916
2.8250084,1.5500107,-11.249992,-3.5749931
-0.5249939,1.3000107,-8.599991,-3.5999908
2.6250114,2.10001,-11.424992,-5.149994
5.7750053,1.0000114,-11.949989,-6.5749893
6.0750084,1.3000069,-11.224991,-2.3249931
4.050007,1.2750092,-11.924992,-2.9999886
4.175007,1.7250099,-12.174992,-3.7499924
4.0000076,1.6750107,-10.624992,-5.0499916
2.5000114,0.9500084,-11.824993,-5.424988
2.3750076,2.5500107,-10.02499,-5.1999893
2.3000107,1.4000092,-11.124989,-3.02499
-0.49998856,0.8750076,-10.249989,-1.7749901
-1.1749878,-1.0749931,-8.074989,-6.27499
0.2000122,3.600006,-8.52499,-3.4999886
2.6750107,3.1750069,-11.624989,-5.3749924
2.5750122,0.50001144,-17.674992,-5.2499886
0.87501144,2.0000076,-16.874992,-5.39999
-0.84999084,2.5250053,-13.39999,-2.5749893
0.80000687,2.6750069,-11.999992,-6.5249863
2.2000084,1.1500092,-15.999992,-3.4749908
2.2500114,0.025009155,-20.999992,-0.44999313
-0.72499084,-0.5249939,-15.02499,0.3250122
-1.4749908,-0.44999313,-14.174992,1.2250099
-3.2249908,-3.1249962,-9.77499,-3.3499947
-6.64999,-3.9749908,-5.27499,-5.049988
-4.9249916,0.05001068,2.1250114,0.2250061
-0.19998932,1.7500076,2.0000076,-4.1749916
0.8000107,0.9250145,-3.8499908,-2.7499886
-3.3749924,1.7750092,-10.474991,-4.724991
-5.5999947,-0.099990845,-10.799992,-2.27499
-7.02499,-2.14999,-17.924992,-1.0499916
-6.7249947,1.3500061,-18.474995,-1.4249916
-2.649994,4.8500137,-10.649994,-2.3749886
-3.6999931,1.6250076,-4.8499947,-5.974991
-3.4499931,1.0000076,0.9250107,-4.6749916
0.05001068,1.9250107,-2.7999916,-0.32498932
1.1000099,1.5000076,-5.899994,-2.3499908
1.2000122,1.9250069,-11.02499,-4.4249916
-0.97499084,0.52501297,-16.574993,-1.9499893
-4.849991,-2.7499886,-9.499992,3.6500092
-9.924992,-4.849991,-5.474987,-2.7999878
-7.224991,-0.4249916,-12.949993,-6.6749954
-4.39999,0.52500916,-8.799995,-2.5999908
-4.4249916,1.2500114,-5.0749893,3.225006
-3.4749908,2.2500114,-7.1249924,-2.9749947
-1.0999908,2.0500069,-12.999989,-3.2999916
-3.8499908,1.6750107,-13.324989,-4.39999
-5.349987,2.0750046,-9.14999,-3.5999908
-3.8749886,1.9000092,-3.5999908,-0.69999313
-0.47499084,1.3000107,4.85001,-0.7999878
-0.24999237,0.025009155,6.650013,-4.3749924
-2.3499908,2.0500107,6.350006,-5.52499
-4.2499886,0.8250084,9.075008,-4.6749916
-2.6249924,1.1000061,10.400009,-5.0499916
-2.899994,2.7500076,11.575008,-7.824993
-2.2499886,3.9500122,12.350014,-4.1249886
-3.4499931,3.8750114,10.125008,-10.649994
-4.5999947,3.3000069,9.22501,-11.374992
-4.774994,3.4500084,4.975006,-8.849995
-5.549988,2.5750084,-2.1749916,-2.5499916
-5.9499893,0.6250076,3.3750076,6.650009
-5.39999,1.9500084,6.900013,6.97501
-0.8249893,5.050007,6.6750107,1.1500092
2.1250114,2.8000069,2.5000038,-1.6249886
1.8000107,1.8750114,-2.39999,-1.3749924
1.1750069,0.9750099,-0.07499313,1.9000092
-2.0999908,1.7250099,2.2000084,4.425007
-4.1249886,1.650013,6.6250076,2.2750092
-3.4749908,2.7500076,12.250011,3.6500092
-0.7499924,4.10001,15.35001,5.325012
2.3250084,1.5000076,21.27501,-1.1999893
2.47501,0.05001068,20.02501,-11.099991
-2.4999962,0.40000916,23.950008,-20.124989
-4.324993,0.9250107,17.775013,-11.999992
-1.6999893,1.7000084,11.450008,-5.5749893
0.7000084,3.2500114,10.500008,-2.89999
0.45000458,2.5250092,14.825012,-0.37499237
1.1000061,2.5500069,13.350006,3.0000076
-1.6749878,-0.2999916,15.850006,5.5000076
-7.6249924,-2.6249886,17.675007,4.1750107
-4.4249916,-0.39999008,12.375008,7.025013
-5.924988,-0.2999916,10.750011,10.175011
-6.324993,-2.4249916,7.3000107,11.72501
-7.0499916,1.3000069,10.700012,14.35001
-3.1249886,1.1000099,12.925011,10.950005
-1.4999924,1.3000107,13.575008,9.025009
-1.9999886,0.52500916,12.700008,8.875008
-3.4749947,0.92500687,12.825012,9.525013
-0.7999878,2.47501,13.225006,9.575008
-1.0249901,2.47501,14.500008,6.275009
2.6500092,0.2500038,13.075012,7.150009
3.0250053,-0.84999084,15.650013,7.525009
-1.0499916,1.0500107,15.775013,9.350014
-2.89999,2.0250053,17.975006,5.3000107
-4.1249924,2.4500122,17.925007,2.0750084
-3.3249931,3.5750084,16.52501,2.4500084
-0.72499084,2.600006,22.77501,-3.1749916
-4.77499,-0.39998627,31.875004,-4.074993
-5.274994,1.0000114,37.925007,-3.4499893
-2.77499,2.650013,40.95001,1.5750122
-2.8499908,1.6250076,40.125008,5.925007
-4.049988,0.80000687,33.77501,-4.5749893
-3.02499,1.5000114,26.375004,-4.4499893
-4.049988,1.4000053,23.22501,-8.599991
-3.4749908,3.0750084,32.550007,-19.999989
-4.049988,2.2500076,32.875004,-4.52499
-2.1749878,2.3750114,28.375004,-9.27499
1.2250099,3.1250076,25.200008,-4.099991
3.9250107,3.5000076,27.275005,5.800007
2.4000092,1.7500076,26.95,17.000011
4.60001,2.8250084,37.750004,15.125008
5.1250114,1.5000038,36.475002,5.7750053
1.8750076,1.7750092,29.725006,0.50001144
0.050006866,3.4500122,28.450005,4.3750076
-1.8499908,2.475006,25.700012,12.200005
0.65000916,2.9000053,31.800007,11.200008
1.6750107,-0.87498856,35.27501,4.9500084
-3.7249908,1.2000084,32.525005,-2.9499931
0.17500687,3.1750107,25.500008,-5.849991
1.1500092,2.9000092,23.625011,-7.27499
2.6500092,2.1500092,21.52501,-3.7999916
1.4500084,0.9750061,24.500008,-0.39999008
0.55000687,2.2000084,24.650005,4.0000076
0.12500763,3.2750092,27.875008,3.60001
-4.324993,1.2500076,30.975006,2.8250122
1.7750092,3.35001,35.250008,-1.4999886
0.9750099,-2.7999878,36.850006,-3.0749893
-6.774994,0.07501221,36.150005,1.4750137
0.05001068,4.175007,42.150005,13.575012
0.5000076,3.3750114,45.050007,10.325008
0.5000076,4.2500076,41.525,10.300007
-1.2999916,5.10001,40.02501,11.225006
0.42501068,5.35001,39.40001,12.825008
-3.3249893,2.7000046,41.575005,15.300011
-5.524994,0.8750076,44.725006,10.500008
-4.64999,1.9750099,44.925007,4.22501
0.8250084,1.4000092,38.725006,4.900009
-4.14999,-0.5499878,35.900005,3.025013
-0.5499916,2.2500114,31.675003,6.050007
5.8250084,0.5750084,30.225006,12.750011
0.27501297,0.9500084,29.800007,10.250008
-2.02499,3.5750084,27.425007,10.300007
-1.8999901,3.4250107,26.875008,12.450012
-0.72499084,4.275009,26.675007,10.125008
0.37500763,3.275013,30.000008,6.9500084
2.0500069,3.6750069,33.425007,5.85001
1.3750114,4.800007,41.700005,2.7000084
-0.34999084,2.10001,41.100002,-4.9249916
-4.024994,3.475006,33.55001,3.5000076
-1.2249947,4.425007,33.77501,15.60001
0.9500084,4.775009,46.40001,19.77501
4.60001,3.6750107,48.050007,15.550007
5.550007,0.8000107,38.925007,12.900009
1.3000107,1.9250069,31.500004,17.225006
1.7500076,5.4250107,29.325008,18.450008
0.7000084,2.9500084,29.150005,20.825012
-4.949993,0.4500084,29.950005,20.350014
-4.299988,0.30000687,30.125004,22.750008
-2.024994,1.9500084,32.475006,27.800007
-1.9749908,2.0750084,38.175007,25.575008
-0.99998856,1.3500099,47.225002,20.10001
-1.5499916,0.40000916,39.550003,8.150009
-5.2499924,1.3250084,32.875008,1.6750107
-0.34998703,2.1750107,29.500004,2.475006
2.9250107,1.5250092,29.200008,3.1500092
1.8000069,3.2500038,30.325008,14.325008
5.550007,3.4000092,34.850006,20.05001
4.1750145,1.5500069,44.02501,14.900009
4.0750084,3.85001,46.625008,17.950008
5.0500107,4.10001,51.300003,21.15001
3.2750092,2.47501,46.875004,19.625011
1.3750076,3.4000092,39.625004,27.875008
0.22500992,4.10001,40.600006,29.725006
0.37500763,4.5000076,36.400005,25.575005
1.3250084,4.5750084,42.02501,20.375011
3.5000076,3.9250069,39.850006,11.175011
3.5000114,4.97501,27.400005,7.400009
2.850006,4.2000084,25.000008,16.100006
1.6500092,4.475006,27.575005,11.475006
4.8750076,2.8000069,26.500008,9.000008
2.225006,0.025009155,28.875004,2.6250114
1.6750107,4.72501,24.600006,-0.099990845
3.7750092,5.10001,22.250011,1.1750107
-2.6249924,3.2000046,23.825008,7.9500084
2.8750114,4.3000107,28.075005,16.900005
1.3250122,2.72501,36.850006,22.22501
1.2000122,4.6250114,46.125008,28.625008
-0.7749901,6.675007,46.70001,36.82501
2.35001,6.5500107,51.325005,41.500004
5.9250107,3.3750114,42.400005,31.900005
2.5500107,0.40000534,40.075005,-6.0249863
4.1750107,2.5250053,41.375008,-1.6749916
6.5000076,-1.6499901,31.050003,-3.4249954
3.9500084,-1.7999916,28.550007,-3.3749924
3.8000107,0.80000687,28.450012,3.225006
6.2750053,0.9500084,30.800007,10.300007
4.5000076,1.5750046,32.100002,7.1000137
2.7750092,3.97501,29.475006,5.1250076
7.22501,4.1250076,30.67501,6.7500076
8.35001,0.37500763,34.32501,9.225006
7.725006,-0.4249916,32.275,11.950005
4.9500084,1.7750092,31.02501,10.875008
0.5750122,1.9250069,29.075005,16.27501
0.4500122,4.3000107,39.175003,24.500008
2.2000122,4.8000107,47.600006,21.05001
6.5750084,3.47501,48.175003,25.100006
4.150009,1.7250061,41.200005,11.875008
5.175007,2.9000092,36.600006,13.450008
3.5750122,2.0250092,38.600002,19.750008
-1.2499886,1.9000053,46.925003,14.000004
2.4500122,5.325012,50.425003,3.8250122
-1.5749893,5.1250076,49.775005,7.2500114
3.22501,4.6750107,44.500004,6.8000107
2.8000107,2.2000122,41.125008,6.3750076
-1.7749901,2.675003,40.725006,-1.2249908
2.475006,4.8250084,43.300007,2.275013
5.4500046,2.4250069,47.875008,16.750011
7.3250084,1.3500137,47.325005,14.175011
6.0000076,2.025013,46.40001,21.05001
3.2000084,1.5750122,45.675003,31.175007
2.0500069,2.900013,39.500008,11.850006
5.2000084,4.5500107,33.425003,-3.974987
7.950012,1.9000092,41.07501,-1.8749924
6.400009,-0.17499161,54.925007,4.400009
4.3000107,0.4500084,43.725006,-4.9249916
2.9250107,3.7500076,37.500004,-19.77499
8.72501,2.3750076,34.250008,-17.624989
9.800011,0.9500046,33.325005,-0.57499313
8.60001,-0.7999916,41.4,3.225006
6.8750114,-1.3999901,42.050007,1.8750076
1.5500069,1.4000092,42.950005,12.700008
1.6250114,3.5750084,48.32501,24.550007
3.1500053,3.900013,44.95001,30.35001
3.525013,3.4000092,43.200005,36.650005
4.10001,3.6750107,43.325005,27.350006
5.550007,3.400013,32.575005,20.22501
4.8250046,5.2000046,30.275005,9.775009
4.35001,6.0000076,32.000004,5.350006
3.9000092,3.9500084,37.450005,-0.42499542
7.4250107,1.2000122,30.750008,-1.7999916
8.950012,0.9250107,30.15001,2.9250107
8.275009,1.1750069,27.175007,2.2750053
6.8250084,0.07501221,29.975006,4.0000114
5.975006,2.1250114,31.45,-1.6999931
4.3750076,2.2500076,26.825008,2.8750114
4.425007,3.6750107,36.45001,9.575008
5.900009,3.22501,40.550007,15.050011
5.6500053,2.5000114,40.82501,18.750008
3.1750069,0.25000763,40.800003,21.775005
2.150013,2.8250084,32.975006,18.200008
4.0000076,2.7000122,37.200005,12.950008
3.3000107,2.7250137,29.325008,13.500004
6.1500053,4.100006,24.825008,13.450005
4.3750076,3.9000092,20.625015,6.4250107
4.775013,4.575012,18.47501,10.900013
3.3250122,1.5750122,29.125004,13.550011
1.4500122,3.2750092,30.875008,15.200005
3.60001,2.6000137,31.900005,21.72501
0.80000687,0.9500122,27.675007,6.025013
4.400009,3.7750092,22.60001,0.025009155
5.7000084,2.7500114,18.200008,6.6250076
2.350006,2.5000076,15.800007,10.800011
2.35001,3.2500114,22.40001,18.275013
5.025009,2.3000107,28.925007,22.72501
5.0000076,1.5250092,30.675003,23.97501
4.8000145,0.90000916,32.625004,18.375011
4.6750107,3.5500107,25.35001,12.175007
5.4500084,2.0000114,22.225014,5.8750114
5.7000084,1.150013,20.97501,9.675011
-5.724991,-0.7749939,27.300007,12.125008
-5.1999893,1.0250092,33.500004,13.675007
-2.7999954,1.0750084,35.300007,15.325008
0.67500687,2.7750092,22.52501,7.72501
4.400009,3.725006,25.02501,0.7000122
6.575012,3.7500114,25.650005,-12.974987
7.650013,2.1250114,23.000008,-9.224995
8.025009,1.4250069,15.500008,-5.4999924
6.9750137,1.5750084,14.750011,-0.2999916
5.8250046,3.0000076,14.325008,0.05001068
6.1750107,3.0750122,13.800011,2.5500069
4.175007,1.0250092,21.000008,5.9500084
-0.049987793,0.20000839,23.450008,6.1250114
-3.2999916,1.4000092,21.475014,-1.3749886
0.2000122,3.2750092,20.575008,-0.07499313
1.4250069,4.525009,27.225006,-1.3499908
-2.7499886,7.7500114,23.875008,1.4500084
-1.9499893,2.4250107,22.200012,1.4000092
0.27500916,3.3750076,23.67501,-2.8249893
0.27500534,5.450012,20.42501,-6.4249916
-0.7999916,5.97501,14.700008,-8.099995
1.2500076,6.025009,6.775009,-5.1249886
3.0750084,6.2500076,5.1250076,-2.39999
5.1250114,5.025009,8.300007,-0.32498932
4.025009,0.9500084,10.72501,2.1250076
4.8000107,1.6250114,4.7000084,4.900013
5.875004,0.5500107,4.8250046,9.675011
4.35001,0.5750122,5.900009,5.3250084
4.7500114,3.6500092,9.750011,4.8750114
4.72501,2.10001,9.950008,-2.6999931
3.5500145,4.35001,10.425007,-6.4249916
3.725006,5.4500046,9.250008,-8.824989
1.5750084,3.8250084,2.8750076,-1.5999947
1.0000114,2.7750092,1.5750122,2.7500076
0.80000687,2.3250122,0.5000076,4.5750084
-0.34999466,3.0000076,-0.97499084,4.925007
-1.3749886,3.4500084,-3.1999931,6.775009
0.42501068,3.10001,-3.0499954,2.72501
2.0500107,1.1250076,-3.4499893,-3.6749916
0.50001144,0.17501068,1.5500069,-3.849987
-0.2749939,-0.97499084,3.5750122,-9.824989
1.0000076,1.2500076,-4.224991,-10.049992
-0.6999893,2.3750076,-5.724991,-9.324989
-0.5499878,2.7500076,-8.474991,-6.39999
2.2750053,2.2750092,-5.8749924,-1.2999916
0.77501297,3.1500092,-4.27499,2.47501
1.1000099,2.7500114,-4.624996,-2.0499916
0.8750076,2.3000107,-6.024994,-6.8749924
2.6500092,1.7250061,-6.799988,-5.474991
5.050007,1.0500107,-5.77499,-0.24999237
2.2500076,1.5000114,-10.099991,-5.074993
1.6250114,1.8000069,-14.39999,-3.9499893
3.0750122,2.5750084,-14.699989,-2.89999
4.10001,1.9500122,-17.624989,-4.7499924
6.8000107,3.22501,-15.52499,-4.724991
7.4500084,2.5000114,-11.149994,-7.8249893
7.7500076,-0.72499084,-4.024994,-7.824993
8.97501,-1.6499901,0.77500916,-6.8749924
6.5000114,-1.2749939,-2.0999908,-9.77499
6.675007,1.1250076,-11.274994,-9.524986
5.0500107,1.9750099,-11.324989,-5.7999916
0.7000084,0.9750061,-14.349991,-6.224991
-3.2249908,-1.0749931,-23.22499,-6.7999916
-4.89999,-0.07498932,-26.049992,-5.4999924
-0.7749901,3.2000084,-22.299988,-3.5999908
3.2000084,-0.4249878,-15.049992,2.5000076
3.5000076,-1.3499908,-18.374989,-0.84998703
2.3000107,0.9750061,-26.124989,-4.8749924
3.4000092,3.6750069,-26.849987,-5.52499
3.9000092,3.7750092,-20.624989,-4.0499916
5.225006,1.7500076,-19.424988,-3.3749924
4.7500076,2.6750069,-18.32499,-4.5499916
2.1750107,2.725006,-19.799992,-8.999992
0.87501144,3.1750069,-16.024994,-11.749992
2.9500046,2.4500084,-7.2249947,-10.549988
3.0750122,0.92500687,-8.77499,-7.974991
1.8000107,-0.37499237,-10.499992,-2.3999863
-2.149994,-0.099990845,-7.849991,-3.6749878
-3.02499,-0.47499084,-11.799988,-8.449989
-0.37498474,-1.5999947,-10.824989,0.40000916
3.10001,-5.6999893,-6.599991,-1.1999893
3.6500092,-4.6249886,-0.14999008,-2.274994
4.85001,-0.14999008,4.9500084,1.1250114
7.3000107,1.8250122,4.6250114,0.30001068
7.325012,2.3250084,-0.9249878,0.30000687
7.550007,1.8250122,-8.199993,-5.5999947
6.3000107,0.65000916,-7.8499947,-5.349991
4.97501,0.37500763,-7.724987,-6.8749924
2.975006,2.8250046,-15.374992,-3.0499916
2.35001,5.025013,-11.049992,-2.2999916
3.0000114,2.6750107,-12.074989,-2.5499916
1.6750069,0.9750061,-8.599991,-2.149994
1.1000099,-0.49998856,-4.3249855,-3.89999
1.150013,0.05001068,-14.824989,-2.4749908
1.2500114,0.4500084,-25.89999,-2.64999
1.2500076,0.9750099,-14.349991,2.1750107
2.72501,0.12501144,-11.474991,0.40000916
2.8250084,-1.1499901,-9.999989,3.2750092
2.4500046,-2.0499916,-9.574989,-0.37499237
-0.9249916,-0.8749924,-15.64999,-0.6499901
-0.8249893,2.5000114,-15.924992,-6.2499886
2.4000092,4.2500076,-14.199989,-7.524994
3.8250084,1.6000099,-20.324993,-3.3749886
2.3750076,0.12500763,-18.299992,0.7000084
3.0000076,0.05001068,-17.59999,-3.8749886
3.60001,0.7250099,-20.774986,-6.9249954
2.2000122,1.4250107,-18.69999,-4.2749863
0.65000916,0.8250084,-14.949989,-4.474991
-1.5999908,-1.5249939,-6.89999,-0.59999084
-0.14998627,-0.6249924,-11.849991,-0.97499084
4.275009,2.1250076,-15.974991,-1.4749908
