HUM1000,HUM0850,HUM0500
85.750015,74.750015,43.250008
96.000015,80.750015,40.750008
88.750015,76.500015,26.250004
69.000015,54.75001,6.5
70.250015,57.750015,14.75
67.000015,55.50001,35.000004
93.000015,81.750015,56.25001
97.500015,87.250015,40.500008
76.500015,65.500015,22.0
52.000008,47.000008,15.5
46.750008,43.250008,5.5
41.500008,37.5,2.25
44.500008,37.0,3.75
40.250008,34.5,10.75
55.50001,52.500008,6.75
71.000015,62.000015,14.0
66.000015,56.000015,24.000004
60.750008,49.250008,48.500008
95.000015,82.500015,67.250015
92.500015,80.500015,20.25
84.750015,76.750015,17.5
94.250015,83.750015,50.000008
92.750015,88.000015,48.50001
88.000015,80.000015,24.5
90.750015,80.500015,38.500004
93.750015,86.250015,39.5
95.250015,84.500015,34.000004
94.000015,80.750015,50.250008
92.250015,84.500015,11.25
80.750015,70.750015,19.25
90.000015,76.750015,27.0
96.000015,85.000015,36.25
87.500015,76.500015,22.5
74.000015,66.000015,13.5
74.250015,61.25001,30.0
79.500015,69.500015,28.0
82.000015,74.250015,32.5
72.000015,61.50001,40.500004
91.750015,92.750015,45.500008
94.000015,90.500015,39.250004
85.000015,79.750015,47.250008
83.750015,78.750015,39.75
92.000015,86.500015,38.750004
79.250015,76.250015,22.25
66.500015,65.250015,25.25
60.750008,58.500008,24.75
62.75001,57.250008,22.0
71.500015,67.250015,40.0
72.250015,71.500015,52.000008
78.750015,74.750015,56.00001
95.000015,89.250015,36.500004
93.750015,88.750015,52.75001
95.750015,92.000015,51.00001
96.750015,91.500015,59.75001
98.250015,98.500015,79.750015
100.000015,100.000015,72.750015
98.750015,97.750015,70.000015
99.000015,98.750015,81.000015
100.000015,100.000015,75.000015
98.750015,99.250015,84.750015
97.750015,97.750015,79.250015
98.000015,94.500015,75.750015
97.000015,92.250015,77.750015
96.750015,92.000015,79.250015
94.250015,89.500015,62.500015
92.000015,84.250015,58.000015
95.250015,91.750015,60.250015
96.250015,93.000015,59.500015
99.000015,95.750015,69.750015
95.500015,94.500015,65.500015
98.500015,98.750015,46.000008
99.250015,99.500015,75.500015
96.750015,95.750015,90.000015
98.500015,98.000015,83.500015
97.250015,96.500015,71.250015
97.000015,96.500015,68.000015
95.750015,91.250015,69.000015
97.750015,89.500015,81.750015
95.000015,94.250015,69.750015
95.500015,94.000015,18.25
95.500015,90.500015,5.75
93.250015,84.250015,16.0
94.000015,86.000015,20.25
96.000015,93.000015,36.750004
95.250015,93.250015,60.000015
95.000015,89.750015,61.000015
95.000015,90.500015,55.750015
96.000015,91.000015,56.250015
95.000015,90.000015,65.500015
97.500015,93.500015,65.500015
97.500015,94.500015,62.750015
96.750015,93.750015,73.750015
96.750015,93.000015,77.750015
94.500015,92.750015,83.750015
94.500015,91.500015,91.000015
90.250015,88.250015,85.500015
90.000015,86.500015,82.500015
90.750015,89.500015,80.000015
94.500015,92.000015,66.250015
97.750015,96.250015,75.750015
96.750015,95.750015,59.250015
96.250015,96.000015,66.250015
96.250015,96.000015,57.500015
95.500015,92.750015,63.250015
96.250015,90.500015,74.500015
97.500015,94.500015,81.500015
97.500015,96.500015,61.75001
96.000015,95.000015,50.25001
92.750015,92.250015,51.00001
93.000015,92.750015,62.250015
95.500015,91.750015,67.500015
97.250015,93.500015,63.250015
96.000015,91.750015,73.500015
95.500015,89.000015,84.250015
94.250015,89.500015,67.500015
96.000015,96.250015,55.50001
94.750015,90.750015,51.00001
94.750015,81.500015,59.500015
92.750015,80.750015,80.000015
94.250015,84.750015,81.250015
95.000015,86.000015,64.750015
97.250015,92.250015,71.250015
93.750015,91.000015,81.250015
92.500015,90.000015,84.750015
95.250015,92.000015,87.000015
97.000015,95.500015,93.000015
97.000015,97.250015,93.250015
96.000015,95.500015,80.250015
95.750015,93.250015,74.000015
97.500015,89.500015,64.000015
97.750015,92.250015,70.250015
96.500015,94.500015,72.500015
95.500015,91.000015,54.500015
96.500015,88.500015,68.750015
95.500015,87.000015,55.750015
94.000015,87.500015,72.750015
93.000015,85.750015,56.250015
95.500015,90.500015,83.500015
96.000015,95.250015,73.000015
97.250015,95.750015,65.000015
97.000015,92.000015,54.25001
95.500015,87.750015,46.500004
94.750015,87.250015,41.0
94.750015,88.250015,47.000008
95.500015,88.750015,62.000015
94.000015,85.750015,66.000015
93.500015,85.500015,61.250015
94.000015,85.750015,69.500015
96.250015,94.500015,78.750015
97.000015,94.750015,76.500015
95.500015,93.250015,62.250015
89.750015,87.000015,54.750015
89.000015,83.250015,56.000015
98.750015,91.000015,67.250015
99.250015,95.500015,58.750015
97.750015,93.500015,60.250015
93.500015,89.500015,73.500015
96.500015,91.500015,82.000015
94.500015,89.500015,72.500015
95.250015,92.000015,61.000015
94.500015,93.750015,69.750015
95.750015,94.250015,70.250015
97.250015,92.750015,66.000015
97.000015,94.500015,76.750015
97.500015,96.250015,71.250015
96.500015,96.250015,79.000015
97.750015,90.750015,73.000015
98.250015,91.000015,69.000015
96.000015,86.750015,69.000015
96.500015,87.750015,54.25001
91.500015,83.500015,32.25
92.750015,80.750015,40.25
95.750015,85.250015,56.25001
96.000015,92.500015,82.250015
96.500015,96.750015,77.250015
95.250015,95.750015,68.500015
97.250015,95.500015,64.750015
95.000015,91.750015,69.250015
93.250015,89.000015,71.750015
94.000015,83.500015,71.250015
88.500015,78.500015,54.50001
92.750015,83.250015,58.000015
86.250015,81.000015,65.500015
93.000015,86.750015,57.000015
93.750015,89.750015,43.500004
94.750015,86.750015,51.75001
95.750015,89.750015,53.500015
97.000015,92.000015,52.750008
95.750015,88.750015,61.250015
93.500015,87.250015,59.750015
96.500015,91.250015,56.750015
95.750015,93.250015,54.250015
97.500015,97.000015,78.000015
98.500015,97.750015,78.750015
96.500015,96.000015,69.000015
96.250015,91.750015,50.50001
97.250015,95.000015,51.000008
93.750015,93.500015,81.250015
94.250015,95.000015,68.750015
95.250015,94.750015,46.000008
97.500015,98.250015,43.000008
96.750015,97.500015,47.25001
94.750015,95.750015,51.25001
93.750015,95.000015,53.00001
98.500015,98.250015,86.500015
98.000015,97.750015,74.500015
97.500015,95.250015,65.500015
98.000015,94.250015,46.000004
97.000015,94.250015,44.750004
96.250015,88.750015,37.000004
95.250015,88.250015,36.500004
93.500015,94.250015,48.000008
94.250015,92.000015,18.5
94.500015,95.500015,17.5
94.750015,95.750015,28.75
96.250015,97.500015,39.750004
96.000015,96.250015,42.500004
95.000015,95.000015,38.750004
93.500015,94.500015,55.750015
94.000015,94.500015,41.75
95.250015,93.000015,50.500015
97.750015,96.000015,46.750004
96.750015,97.000015,36.25
97.250015,96.250015,36.5
95.000015,90.000015,48.500008
97.000015,96.500015,60.250015
98.750015,99.250015,81.000015
96.000015,97.000015,97.000015
95.000015,96.500015,77.250015
95.750015,95.750015,64.500015
96.000015,94.500015,93.250015
95.750015,94.500015,57.75001
97.000015,97.500015,30.0
96.250015,96.500015,55.50001
97.500015,98.250015,83.750015
98.500015,99.000015,67.000015
94.750015,95.500015,13.0
98.000015,98.250015,53.250008
98.500015,98.750015,70.000015
97.500015,97.750015,58.50001
96.500015,96.500015,58.500015
94.750015,96.000015,59.000015
96.250015,96.500015,68.000015
95.250015,85.500015,41.250008
87.000015,79.250015,6.0
86.750015,77.000015,4.75
93.250015,93.250015,3.75
93.750015,95.250015,4.5
92.250015,91.750015,12.5
90.500015,93.500015,18.75
84.750015,87.750015,32.75
79.500015,77.250015,20.0
82.250015,75.250015,9.25
80.500015,72.750015,25.75
88.250015,88.750015,9.75
87.500015,89.250015,6.5
85.500015,83.250015,12.75
90.000015,80.250015,9.75
89.250015,86.250015,38.500004
93.000015,95.500015,54.500015
92.000015,94.000015,54.250015
89.750015,89.750015,56.00001
91.000015,93.500015,34.0
83.750015,86.750015,44.000004
86.500015,89.500015,22.000004
92.750015,95.250015,13.5
94.250015,96.500015,7.5
94.000015,96.000015,28.5
85.750015,91.000015,32.250004
86.750015,86.750015,22.75
91.750015,89.000015,10.75
92.500015,93.000015,10.0
90.000015,85.000015,7.75
84.000015,80.000015,37.500004
77.750015,75.500015,40.250004
81.000015,75.750015,14.25
75.750015,62.500015,16.5
70.250015,45.750008,9.0
63.75001,44.500004,9.75
62.75001,44.250004,11.0
74.250015,72.750015,6.25
80.500015,82.250015,12.0
75.500015,73.250015,13.25
60.000008,53.75001,8.75
88.750015,84.750015,13.0
81.250015,76.500015,24.0
71.000015,69.000015,22.0
88.250015,91.750015,31.75
88.500015,91.750015,31.25
77.000015,75.500015,21.0
71.250015,64.750015,7.75
63.75001,54.75001,10.0
58.500008,48.000008,22.0
54.500008,50.000008,24.75
66.500015,63.500015,14.0
88.000015,86.750015,35.75
98.000015,97.000015,44.500008
99.500015,99.500015,23.25
94.750015,95.250015,35.500004
93.500015,87.000015,11.5
85.000015,79.250015,12.25
71.000015,64.500015,8.5
64.500015,55.50001,5.75
61.250008,50.250008,9.25
56.500008,42.750004,12.5
59.250008,49.250008,9.25
73.250015,74.750015,10.25
73.750015,72.750015,14.25
72.500015,76.500015,25.5
73.250015,82.000015,23.25
68.250015,72.250015,16.75
67.750015,65.250015,17.5
68.500015,73.500015,29.0
90.750015,86.250015,43.500008
75.000015,69.250015,16.25
66.250015,64.750015,20.0
72.500015,69.500015,25.75
86.000015,82.500015,21.25
87.500015,81.500015,19.75
90.750015,89.500015,18.75
84.500015,79.750015,23.5
85.250015,82.500015,29.75
97.500015,100.000015,46.250008
90.500015,89.500015,31.25
80.000015,69.000015,13.0
91.000015,85.500015,26.500004
98.750015,98.500015,23.0
98.500015,98.750015,43.500008
99.750015,97.500015,49.25001
78.500015,69.250015,30.0
61.25001,52.750008,35.000004
49.750008,36.0,13.25
42.250008,30.0,13.0
39.250004,27.25,12.0
30.250004,25.25,17.25
42.750008,32.25,19.75
51.250008,43.750008,35.5
62.250015,58.50001,19.25
57.000008,50.000008,22.75
57.250008,53.250008,28.25
68.500015,67.500015,13.75
60.000008,60.50001,25.25
53.750008,53.000008,28.75
41.500004,37.750004,38.000008
38.250004,29.25,24.5
36.250004,28.25,26.25
32.250004,26.75,23.25
41.250008,33.75,25.5
45.000004,39.250004,28.5
38.500004,29.5,22.0
35.500004,25.75,12.5
31.500004,24.0,26.25
31.500004,26.75,29.5
33.500004,26.5,22.0
34.750004,24.75,7.0
33.000004,31.5,16.75
37.500004,34.0,18.0
35.750004,29.5,18.75
38.750004,29.75,7.0
39.000004,33.75,12.5
50.500008,46.000008,10.75
39.250004,33.000004,9.25
36.250004,30.5,12.25
35.500004,29.5,14.75
57.000008,54.750008,13.5
73.000015,72.000015,7.5
96.000015,94.750015,27.5
93.750015,89.500015,18.0
93.500015,93.500015,28.75
99.250015,96.250015,26.75
92.000015,84.500015,17.75
96.750015,90.250015,75.500015
94.750015,87.500015,69.500015
96.750015,87.500015,80.250015
95.250015,95.250015,39.25
88.250015,87.250015,34.000004
76.500015,75.750015,20.0
72.500015,70.750015,22.25
74.750015,70.500015,31.000004
90.500015,94.250015,57.250015
89.750015,91.750015,45.000008
94.000015,91.250015,30.75
83.000015,80.000015,25.5
75.750015,65.250015,18.0
94.000015,91.750015,16.0
95.500015,90.500015,55.25001
93.000015,85.500015,26.5
92.250015,83.750015,41.750008
95.750015,90.750015,32.75
96.750015,92.500015,37.000004
94.000015,88.250015,33.0
88.500015,76.500015,32.0
70.250015,61.750015,27.000004
81.000015,65.500015,34.500004
85.250015,71.250015,52.000008
75.250015,61.250015,30.25
62.75001,50.750008,23.75
55.750008,48.250008,17.5
54.000008,45.750008,10.25
54.250008,49.750008,5.0
49.000008,43.250008,4.5
70.500015,51.000008,6.0
51.000008,39.500004,7.25
68.500015,59.500015,22.75
82.000015,74.250015,47.000008
87.500015,78.750015,80.500015
98.000015,93.250015,65.750015
93.750015,92.250015,18.75
89.750015,83.250015,6.0
73.500015,70.750015,13.25
58.750008,58.000008,11.0
63.00001,63.250015,10.0
63.75001,59.75001,21.0
80.750015,77.500015,23.5
91.750015,96.000015,26.0
92.000015,94.000015,46.500008
92.500015,91.000015,59.750015
80.000015,79.000015,59.750015
78.250015,68.500015,67.000015
95.250015,84.500015,73.500015
95.750015,89.750015,46.500008
95.500015,83.250015,21.0
93.250015,78.250015,18.0
96.750015,81.000015,26.5
96.250015,91.000015,66.500015
97.500015,93.000015,83.000015
94.750015,89.250015,65.000015
92.750015,88.250015,68.250015
93.000015,88.500015,51.00001
94.250015,92.000015,78.750015
91.750015,90.500015,66.750015
82.750015,81.500015,60.750015
79.750015,76.250015,49.250008
77.500015,71.000015,61.000015
82.250015,78.500015,64.000015
78.250015,75.750015,66.000015
84.250015,81.000015,63.000015
95.000015,94.000015,76.750015
100.000015,100.000015,91.250015
98.750015,98.250015,88.500015
98.000015,97.000015,83.750015
97.750015,97.750015,85.500015
96.500015,95.750015,72.500015
97.750015,94.250015,67.500015
97.000015,96.500015,67.000015
97.000015,96.000015,58.750015
97.250015,92.750015,60.750015
98.000015,93.250015,57.250015
96.000015,89.500015,67.250015
97.750015,93.250015,61.500015
95.500015,92.000015,56.500015
96.250015,94.250015,51.25001
95.750015,89.750015,51.250015
96.750015,92.000015,55.500015
99.750015,97.000015,69.250015
98.250015,95.000015,68.500015
96.250015,93.500015,61.250015
95.000015,94.500015,61.000015
96.000015,94.750015,57.000015
95.250015,90.750015,51.50001
97.000015,95.250015,57.750015
96.000015,94.250015,66.000015
92.000015,89.000015,43.250004
93.000015,91.000015,57.750015
98.000015,92.750015,83.500015
98.250015,94.250015,73.000015
96.250015,90.750015,71.250015
96.250015,92.000015,70.250015
96.000015,94.250015,70.500015
96.750015,95.750015,79.250015
95.750015,95.000015,73.250015
95.750015,92.000015,52.00001
95.500015,90.750015,43.250008
96.500015,90.750015,46.750008
97.000015,93.500015,43.750008
95.750015,90.500015,48.000008
95.750015,86.750015,40.250004
93.750015,87.250015,46.750008
95.500015,89.750015,38.250004
95.750015,91.500015,64.750015
96.500015,95.000015,65.750015
95.750015,90.500015,49.00001
95.250015,91.750015,66.250015
96.000015,93.500015,60.000015
95.250015,93.500015,47.000008
91.000015,88.000015,54.50001
96.750015,93.250015,73.750015
97.250015,96.000015,74.250015
95.750015,93.000015,45.250004
94.250015,90.750015,38.5
97.250015,94.000015,75.000015
93.750015,91.250015,91.750015
95.250015,89.000015,77.500015
96.250015,91.250015,70.000015
95.750015,92.000015,83.250015
93.000015,88.000015,71.250015
97.250015,91.250015,70.500015
98.000015,96.000015,85.250015
98.000015,96.750015,91.750015
97.500015,93.500015,93.000015
98.500015,93.750015,80.250015
97.500015,95.750015,92.000015
98.250015,98.000015,94.750015
96.750015,96.000015,94.500015
97.250015,90.500015,84.750015
96.750015,92.250015,93.250015
97.750015,93.750015,81.250015
96.250015,93.250015,82.000015
95.750015,94.750015,78.000015
97.250015,90.750015,87.000015
98.250015,91.500015,91.500015
96.250015,88.500015,86.750015
97.750015,97.000015,95.250015
