train_id,text,C0027497:悪心,C0011991:下痢,C0015672:倦怠感,C0042963:嘔吐,C0003123:食欲不振,C0018681:頭痛,C0015967:発熱,C0206062:間質性肺疾患,C0023895:肝障害,C0012833:浮動性めまい,C0030193:疼痛,C0002170:脱毛症,C0004096:鎮痛剤喘息症候群,C0022658:腎障害,C0020517:過敏症,C0917801:不眠症,C0009806:便秘,C0005956:骨髄機能不全,C0000737:腹痛,C0010692:出血性膀胱炎,C0015230:発疹,C0149745:口内炎
25.0,歯医者さん行って、腫れが引いて来た!でもまだ痛みがあるから抗生剤とロキソニン飲んでるし、また痛くなったら病院行こ。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,造影剤の副作用でC終わりました。なんか気持ち悪くなってきて、吐き気やばくなっちゃってしんどいな〜と思っていたら今朝は胸が痛い...検査結果まであと2時間あるから不安だけど明日病院行くつもり,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28.0,アザチオプリンの副作用がキツイ...# #結節性多発動脈炎 #ステロイドパルス療法 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,アザチオプリンの副作用は、間質性肺炎と骨髄抑制です。ステロイドや免疫抑制剤などの治療も行われますが、長期にわかれることはほぼありません #eing #質問箱 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,#グルコファージ#メトホルミン &gt;グルコファージ(メトホルミン、メトホルミン)は2型糖尿病の治療薬です。グルコファージは体内に糖分が吸収されることや肝臓での糖分の生成を抑える効果だけでなく、筋肉や細胞組織を介して,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,ミノサイクリンって抗生剤飲んだらめまいが酷いのなんでだろ〜!!!明日も飲まないといけないけど、飲んでなかったらどうなってんの?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32.0,抗生剤の薬疹に悩んでいる人は多いですよね私も昨年同じような症状で救急外来行ったらアナフィラキシーだったことあるんだけど、今回はどうなんだろう。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33.0,ミノサイクリンで神経障害が改善するなら、イベルメクチンは効果的だと思うんだけど今朝から飲み始めて2日ほど経つと知覚過敏も治まってきた気がする,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,アザチオプリンの副作用に間質性肺炎があります。ステロイド、免疫抑制剤などが使われますが、治療を誤ると再発しやすいので注意が必要です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,#コロナワクチン 2019年9月12日にファイザー2回目。その1週間後から腕の腫れと赤みが広がり昨日発熱外来にかかりました。抗体はついていなくて今日結果を聞くことになりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,<user_name>抗生剤で下痢になる人もいるので、お気をつけて〜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0,<user_name> そうなんですねバイアスピリン飲んでると血流よくなるらしいんですけど、出血が止まらなくて怖いのですよね...。お大事になさって下さいね,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.0,シスプラチン投与5日目。点滴から1時間ほど経ってからの吐き気、だるさがすごかったです。昨夜は食欲不振と低血糖が辛くて眠れず...今日は寝られるのか不安になってきました。明日も元気になるかな <url>,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40.0,シスプラチンの副作用で食欲不振と不眠、嘔気が強いとのこと。1日2回に分けて飲むことになっていますが、今まで感じたことがない程吐き気が酷くて苦痛だったなぁ...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.0,・イソニアジドは結核菌に効果があるが、副作用で肝障害や腎障害などの副作用を起こすことがある,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.0,<user_name> 外から失礼します。私も2年前に心室頻拍がなくなり、リドカイン1日6mg飲んでたのですが、そのせいで動けないほどに悪化してしまいました。その時はアミオダロンを飲むことにしてましたが、やめたら落ち着,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.0,<user_name> あー、やっぱりそうでしたアスピリン喘息があるんですね!私もロキソニン飲んだら咳き込んで吐いちゃいました。あとは喉が腫れているだけで呼吸困難にもなりました(汗),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.0,<user_name> アザチオプリン、ペプシドは胃腸炎の薬物療法です。私も最初はメサラジンとレパミピド(アザチオプリン)で治したのですが、2年ほどしてまた副作用が出ました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.0,"【医療者向け】で尿酸値が上昇すると,抗結核薬が有効である.しかし,これらの薬剤は結核菌の細胞壁合成を阻害することにより増殖を防ぎ,同時に病原性微生物の排除を行う.結果,サイトカインストームが起こり,血栓塞",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.0,メトトレキサートの副作用で、吐き気や下痢が凄いです。飲み終わって3日目ですが、まだ治りませんお顔は腫れてますか? #関節リウマチ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.0,抗生剤で眠気と食欲低下やっぱり食べない方がええんよねー <url>,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.0,今日病院行って検査してきました!子宮筋腫が、小さくなっていっているし手術もしたくないので次回造影剤Cを撮ることになりました,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0,インフリキシマブ投与から3日目。熱は平熱に下がり、倦怠感も少し落ち着く。喉の腫れが治まるかなぁ〜,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.0,お腹痛くて寝れなかった。抗生剤の点滴は今日明日で終われるし、明後日には痛みが治まりますように!!#秘密結社老犬倶楽部 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.0,おはようございます雪が降るのはいつまで続くんだろう?#痛風発作 139日目#禁酒 55日間達成#節酒 8/14〜飲酒#フェブリク 102日目#コルヒチン 100日目#セレ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.0,おはようございます雨が降らないでくれと祈るばかりです。#痛風発作 114日目#禁酒 55日間達成#節酒 8/14〜飲酒#フェブリク 103日目#コルヒチン 101日目#セレ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0,<user_name> そうなんですね...。アスピリン系は喘息の人にはダメなので、イブプロフェンしか入ってないんですよね痛みが強かったらカロナールとか飲んじゃってもいいですしね(笑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.0,シスプラチン投与2日目。副作用の吐き気は治まりましたが、下痢と食欲不振が酷くて昨日からずっと食べていたら今朝からまたお腹を壊している... <url>,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.0,<user_name> アスピリンは喘息の人禁忌だからなぁ。イベルメクチンも、コロナに感染した時しか飲めないとか書いてあるよね,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,《問題》43歳男性。関節リウマチのため免疫抑制薬を内服している。2週間前に胸部線で肺野全体に白い影を認める。翌日には呼吸困難を呈する。左心室ブロックおよび右心室ブロックにおいて多数の二重盲検像が観察された。適切な治療はどれか。\,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0,おはようございます朝から雨の予報#痛風発作 176日目#禁酒 55日間達成#節酒 8/14〜飲酒#フェブリク 103日目#コルヒチン 101日目#セレコックス 28日目\,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0,潰瘍性大腸炎の治療の第一選択はメサラジン錠。これは、ペンタサ注腸のジェネリック医薬品です。この薬を飲んでいる方には本当に大変かと思いますが、少しでも力になれるよう努力していきましょう#クローン病 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0,<user_name> おはようございます私はシクロフォスファミドの副作用が強すぎて眠れない時があって、寝付きが悪くて今朝起きてからは吐き気と倦怠感で1時間ほどダウンしました,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62.0,<user_name> シクロフォスファミドは、抗がん剤です。癌細胞の増殖抑制に使用されますが、C関連血管炎には有効と思われます。(画像所見),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.0,【一般名】エタンブトール【商品名】エサンブトール肝障害【薬効分類】抗結核薬【投与量】0.75g【適応】肺結核【副作用】視力障害【薬理】核酸合成阻害作用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.0,<user_name> お大事にしてくださいね私も昔顔面麻痺になってステロイド剤飲むと治っちゃったので(笑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.0,<user_name> 私も潰瘍性大腸炎の薬を飲むと下痢が止まらなくなってしまってね...メサラジンは1日10錠までしか飲んでくれないし、お腹痛いから食べれなくて困ってますよ(笑),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68.0,今日はメトトレキサートの日。朝飲み忘れないように気をつけてたけど、夕方飲んじゃうと痛みが強くなるからやめなきゃ... リウマチの方ってどうしたら良くなるんだろうね?#関節リウマチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.0,アザチオプリンの副作用骨髄抑制、肝障害、骨髄抑制。ステロイド使用時に起こるまれな副作用の一つに、「反復する発熱」や「複数回の高熱」がある。服用によって症状が増悪し、生物学的製剤の使用を検討する。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.0,<user_name> そうなんですね。私も今の所は、メサラジン飲んでるから?と勝手に解釈しちゃいます食後腹痛で3日間くらい下痢が続きましたが、昨日病院に電話して相談したら「お薬出してくれましたか?」って聞かれて,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72.0,おはようございます今朝は雪が積もったようで寒くてビックリです。#痛風発作 138日目#禁酒 55日間達成#節酒 8/14〜飲酒#フェブリク 103日目#コルヒチン 101日目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.0,「コルヒチン」家族性地中海熱の治療薬。痛風の好発部位に幅広く処方される。副作用として嘔吐、下痢、皮膚の知覚減退、呼吸困難など。製品名は「コルヒチン」,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.0,<user_name>外から失礼します。うちも今は潰瘍性大腸炎の治療に使ってますが、ペンタサ錠やメサラジン錠を飲んでいます。他の方はどうしていますか?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0,<user_name> 私は1回目は接種後発熱して2日間38度以上の熱や倦怠感が続きました。インフリキシマブとアデホスコーワ(メサラジン)の解熱剤、カロナールで何とかやり過ごしましたが次の日37度まで下がらず3日目に微熱,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0,<user_name>アスピリン喘息のせいで、ロキソプロフェンも飲めなくなりました,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79.0,ニキビ、気管支炎、病などの細菌感染に、アカミン50 50mg×60錠を販売中。ミノマイシンのジェネリック医薬品です。有効成分ミノサイクリンが、細菌を殺して感染を治療します。皮膚感染症、呼吸器系、,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.0,<user_name> おはようございます。抗生剤でお腹の痛みはなくなり、下痢も少しおさまってきましたね早く良くなりますように...!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0,シスプラチンの副作用でお腹がゆるくなるって言われたけど、これだけ長く続くんだろうか...#非小細胞肺がん,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0,<user_name> 私も今メサラジンで薬疹が出てます...。1番辛い時はステロイドの錠剤が飲めば落ち着くのですが、2週間くらいは副作用が出やすいみたいです,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83.0,アザチオプリンの副作用、骨髄抑制 #紫雲膏 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.0,シクロスポリンのせいか、頭痛が痛い,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.0,シスプラチン吐き気と倦怠感で、1日に一回くらいのペースで嘔吐する。-1が効いてきて元気になってるのかも?と思い始めたけど、今朝はお腹を下して痛くてあまり寝れなかった 昼ごはん食べない...,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
89.0,<user_name>Cや尿検査の結果がどうなっているかによって、シクロフォスファミド投与後の再発又は難治性喘息発症の可能性があることを示しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,<user_name> 私はアミオダロンで副作用が出ちゃったのでお気をつけ下さい!私も心房細動と不整脈持ちですが、今は薬が効いてだいぶん楽になってきました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.0,おはようございます先日、退院後初の外来受診でした。シクロスポリン(免疫抑制剤)が10mgになったら副作用の高血圧と貧血を発症する恐れがあるそうです。その為今週からまたプレ5mgへ減薬する事になりました。 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.0,ミノサイクリンを飲み始めて4日目吐き気・頭痛・倦怠感、めまいが酷いロキソニンの効果切れるとやばい。明日は耳鼻科行くか...,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.0,昨日、造影剤使って検査してきた。結果を聞きに来てみたら「肺転移なし」と言われてびっくりした 血液検査は数値的に異常なかったからなんともいえないけど...とりあえず大丈夫みたいだ!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.0,今日からステロイド(メサラジン)と抗生剤の内服開始。副作用の腹痛が酷く、お腹空かないなぁ...という気持ちもあってちょっと怖かったけどとりあえずこれで回復を祈る <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97.0,<user_name> はじめまして。私も関節リウマチでメトトレキサートを2日続けて飲んでいますが、副作用は出ないんですね私は1錠減らすだけでかなり良くなったので、増やさず様子を見るようにしてます...!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.0,シスプラチン投与4日目吐き気は治まってきたけど副作用の下痢と倦怠感がすごくて眠れなさそう。昨日の午後から抗がん剤治療で入院した時より少しマシになってるかなー オヤスミナサイ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,#メトトレキサート副作用は吐き気、食欲不振、下痢等。投与開始から5日目で顕著に症状が改善した。服用後10日経った今でもまだ少しだけ息苦しさと腫れがある,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.0,心房細動(脳梗塞など)に対して抗血小板療法を行い、アスピリンを投薬した症例も報告されました。 #柴垣禎丞<url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.0,3つ選べ。a. 脾腫b. 副腎皮質腫瘍c. サイアザイド系利尿薬d. ステロイドパルスe. 肝硬変正解は⇒<url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,<user_name> 私は、コルヒチンが効き始めて1週間程で痛みも腫れも引いてきて関節痛もなくなりました。ステロイドを2錠ほど増やして5ヶ月くらい経ちますけどまだ完治はしていないのですよね,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,<user_name>初めまして。メサラジンの副作用で嘔吐や下痢は経験しましたが、食欲不振と体重減少も気になると先生に言って処方されたお薬を試してみたらよくなりました()ありがとうございます!,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.0,<user_name> 私はCの副作用とシクロフォスファミドで発疹が出たんですが、ステロイド軟膏を塗れば大丈夫ですよ1回目の時は2日目くらいに顔から頬にかけて腫れました...(笑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110.0,<user_name> 私もミノサイクリンを処方されて副作用のめまいと頭痛が治ったよ〜お大事にね''ミノサイクリンって、副作用にめまいがあるんだなぁ...今日は朝だけ飲んで夕方まで大丈夫かなあ。早く効いておくれ〜 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.0,【一般名】エタンブトール【商品名】エサンブトン【薬効分類】抗結核薬【投与量】0.75g【適応】肺結核【副作用】視力障害【薬理】核酸合成阻害作用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,シクロフォスファミド(商品名:エンドキサン)副作用として、骨粗症、間質性肺炎、心不全など。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.0,アミオダロンで副作用に間質性肺炎と甲状腺ホルモン異常「看板娘の候補はアミオだろ、うん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,<user_name> 私は潰瘍性大腸炎です。メサラジン錠で寛解していますが、服用して2週間以上経った今も下痢します同じ薬を飲んでいる方と同じような症状の方がいらっしゃいますか?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.0,ミノサイクリンって抗生剤飲んでるけど、お腹痛い...下痢止まらねーの!?病院行ってくるか,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118.0,今日からプレドニン5mg減量。メサラジンで便秘になったかと思っていたが、やっぱりお腹緩くなるのは気のせい?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119.0,シスプラチンの副作用で腎障害と低g、食欲不振や脱毛などはあるかも知れんがそれなら今よりもっと元気にしてろよ。 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.0,<user_name> シクロフォスファミドの副作用ですね。出血性膀胱炎になった時の症状と全く同じです,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0,歯医者で貰った抗生剤のせいかお腹痛い。やっぱ胃もたれするなぁ <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123.0,息子は昨日の夕方から発熱しだして、夜中3時に37度台に。抗生剤も飲んだけど全然効かず...病院連れていくのめんどくさかったー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.0,抗炎症薬、ミノサイクリンの副作用でめまいや吐き気があるみたい <url>,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125.0,<user_name> ありがとうございます。メトトレキサートは関節痛に効いてくれる薬というイメージがありましたが副作用のリスクを考えれば飲みたくないんですよねぇ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.0,<user_name> 外から失礼します。私もメサラジン飲み始めたのが去年の10月だったので、今年はプレドニンで落ち着きましたよ!1ヶ月くらい服用し続けていたら胃潰瘍になり2週間後にまた悪化して再燃(笑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,<user_name> 私はアスピリン喘息の持病があり、ロキソプロフェンやイブプロフェンなどの解熱鎮痛剤は飲めません。カロナール(バファリン)も頭痛の時に飲みます。アセトアミノフェンでもです。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128.0,-pple atch(アミオダロン)は、心房細動における心室性の頻拍を軽減する効果があり、薬物治療で用いることができます。<url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129.0,<user_name> 大丈夫?ステロイド剤は炎症やアレルギーを抑える効果もあるけど、根本的な解決にはなっていないからね...。うちの子は口内炎がひどくて歯医者さんに行ったら軟膏を処方されました!治らない場合は皮膚科に行きましょう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.0,【クローン病】好発年齢:若年層抗α抗体陽性。皮膚症状、肝障害、下痢の症状有。診断基準は成人で異なっており、インフリキシマブ投与後の細胞診ではC値が非常に低いことが観察されている。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132.0,アザチオプリンの副作用で起こる全身脱毛症→ステロイドパルス療法、プレドニン5mg×2日を3日間点滴する治療法に変更 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.0,<user_name> 造影剤C検査って何なんですか?私、卵管造影しましたが2時間後にめまいと吐き気で目が覚めてしまいました。痛みもなくてホッとしましたけど...早く終わったほうが体楽なんだなって思いました!ありがとうございます,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134.0,ワクチン接種2回目終了。アスピリン喘息持ちなので解熱剤は飲めないのだが、ロキソニンやバファリンで薬疹が出たことが有れば服用してもよいかもと医師の先生に言われて一応カロナールを用意していたのだけれど、大丈夫でしょうか?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136.0,メトホルミンを飲み始めてから、食欲減退と下痢が出てきた。糖尿内科の主治医に相談してみてもいいのかな? #糖尿病,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139.0,インフリキシマブ投与2日目の痛みがだいぶ落ち着いてきたけど、なんかちょっとした刺激に反応する感じで体がだるくて動けなくなる お腹も少し下すからやめてみようかな。#潰瘍性大腸炎,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140.0,<user_name> こんばんは。うちのも、昨年6月に腎不全で2週間ほど入院しました。点滴と抗生剤投与されました。早く良くなりますように!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141.0,<user_name> お返事遅くなりすみません。フォロー外から失礼します。私も潰瘍性大腸炎でアザチオプリン、タクロリムスを服用しています。薬が効かなくなってきたと感じています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.0,<user_name> 私の場合は痛みが強かったので、コルヒチンを併用してます。効くか分かりませんが,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.0,おはようございます昨日は寒気がします。#痛風発作 139日目#禁酒 55日間達成#節酒 8/14〜飲酒#フェブリク 103日目#コルヒチン 101日目#セレコックス 28日目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
